"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sp100",9.76577677967525e-11,-1.48971555864266,0.356,0.513,2.45404204696459e-06
"Ifi35",1.05291924202058e-10,-1.82852145768316,0.059,0.143,2.64588076327353e-06
"Psmb10",1.37481757438186e-10,-0.805713658859571,0.141,0.265,3.45477908266419e-06
"Mgst3",1.46193510416957e-10,-0.780749950807138,0.204,0.334,3.67369672326772e-06
"Ogfrl1",1.52156514092826e-10,-2.55027292758643,0.035,0.101,3.82354104263862e-06
"Tmem50a",1.61587008381928e-10,-0.974586353177254,0.246,0.415,4.06051993362946e-06
"March5",1.79803416954814e-10,-1.65694342294081,0.073,0.164,4.51828006465751e-06
"Hist1h1e",1.81858642773798e-10,-1.21907506209843,0.278,0.417,4.56992583426278e-06
"Smc1a",1.826489211071e-10,-0.809788851890772,0.226,0.377,4.58978473850032e-06
"S100a5",1.89853683104469e-10,-36.0539930857741,0.867,0.677,4.77083320273219e-06
"Ogt",2.03917685031468e-10,-0.642938397944209,0.195,0.334,5.12424750715575e-06
"Rcsd1",2.15994767819359e-10,-7.42242029405187,0.184,0.309,5.42773252053267e-06
"Cnp",2.16651296165573e-10,-8.11827626679409,0.21,0.343,5.4442304213447e-06
"Atp1b3",2.45849437782783e-10,5.49983086169612,0.11,0.217,6.17795052204355e-06
"Rrm2b",2.49087339307102e-10,1.00261676752748,0.087,0.186,6.25931574944816e-06
"mt-Nd4l",2.52573643913193e-10,-4.24096219373996,0.93,0.8,6.34692309789462e-06
"Ube2e3",2.77521384747667e-10,-0.604820749785651,0.04,0.11,6.97383487732411e-06
"Stx5a",3.00861017622032e-10,-0.65140188415293,0.057,0.139,7.56033651182405e-06
"Lrmp",3.07001017012354e-10,-7.29080584613326,0.197,0.325,7.71462855650344e-06
"Stx16",3.18060555414991e-10,-1.53800004550708,0.074,0.166,7.9925436970233e-06
"Tm9sf3",3.43561324872525e-10,0.73209045354231,0.332,0.518,8.63335253272169e-06
"Ndufa11",4.54643375266946e-10,1.08852197752402,0.268,0.446,1.14247333770831e-05
"Chchd10",5.0303132290408e-10,-5.26709734579338,0.791,0.818,1.26406741132566e-05
"H3f3a",5.41055007321475e-10,-4.38245064772781,0.999,1,1.35961712789813e-05
"Tpt1",5.93110375803092e-10,28.1114765037403,1,1,1.49042706335559e-05
"Mdh2",5.99083272348831e-10,0.721810003009339,0.206,0.359,1.50543635508538e-05
"Oaz1",6.73051122621596e-10,1.00061590422347,0.995,0.987,1.69131016603581e-05
"Rpia",6.74423253344853e-10,-0.515521434112512,0.058,0.139,1.69475819333028e-05
"Mzb1",6.99762832777108e-10,-7.26073276145486,0.348,0.493,1.75843402248559e-05
"Stk11",7.08342564146858e-10,-1.00727163710069,0.072,0.161,1.77999402944464e-05
"Hnrnpa2b1",7.97017135042331e-10,-10.4561173601237,0.99,0.978,2.00282435864787e-05
"Zfp91",8.32900968523736e-10,2.21593961238821,0.432,0.592,2.0929968438033e-05
"Babam2",8.85920863877679e-10,-1.31110262580382,0.057,0.137,2.22623053883822e-05
"Dck",9.29248348710943e-10,-1.18961376155963,0.042,0.11,2.33510817547573e-05
"Clint1",9.64971738084333e-10,-1.04671107982905,0.203,0.343,2.42487748063212e-05
"Chmp4b",1.02423964725418e-09,-1.37350493428073,0.164,0.287,2.57381180958502e-05
"Cmtm7",1.14642283978998e-09,-6.99407441999592,0.238,0.354,2.88084595410824e-05
"Gpbp1",1.2712919486397e-09,-0.871389851264151,0.212,0.348,3.1946295377367e-05
"Lpin2",1.34003587932696e-09,-1.19439092262084,0.058,0.137,3.36737616116072e-05
"Epsti1",1.36547591299338e-09,-1.74304520376112,0.117,0.226,3.43130442176107e-05
"Rtraf",1.37846320568452e-09,-2.45417753268494,0.217,0.354,3.46394018956464e-05
"Immp1l",1.5702078983996e-09,-1.10627737342722,0.061,0.141,3.94577542788835e-05
"Rtf2",1.63800930934752e-09,-0.643705664400933,0.095,0.191,4.11615359345939e-05
"Mtdh",1.80727116252841e-09,9.79523747193723,0.395,0.576,4.54149170431764e-05
"Cdip1",1.88082979337375e-09,-0.93437465486152,0.058,0.137,4.72633718776889e-05
"Tmem163",1.96585099682444e-09,-1.27366055247016,0.038,0.103,4.93998696992013e-05
"Gtpbp2",1.97757582516222e-09,-2.13671167354803,0.097,0.195,4.96945029105014e-05
"Blnk",2.03371853666352e-09,-1.73737237035787,0.226,0.35,5.11053131078175e-05
"Nrd1",2.12714715109654e-09,-0.6364610801951,0.199,0.325,5.34530807599049e-05
"Parp1",2.19639338809557e-09,-1.27499597197361,0.256,0.392,5.51931694494536e-05
"Msh2",2.38630415957683e-09,-0.677570089887345,0.037,0.101,5.99654372260062e-05
"Golgb1",2.5002185395941e-09,0.574351299145369,0.118,0.224,6.28279916814602e-05
"Tia1",2.78238294167551e-09,1.18013026918747,0.136,0.247,6.99185009413639e-05
"Ndufs5",3.02177477092051e-09,0.794397182149624,0.221,0.381,7.59341782184616e-05
